Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
1,Rodrigo Abascal,uy URU,DF,Boavista,30-335,1994,11,11,990,11.0,0.00,0.00,0.00,0.00,0.00,0.00,0.27,0.00,0.05,0.05,0.05,0.10,0.55,1.82,0.91,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.10,0.05,0.10,Matches
2,Bilal Abdelrahman Zeeni,eg EGY,MF,Estrela,21-328,2003,1,0,8,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,10.0,10.0,0.00,0.00,0.00,0.00,0.00,0.18,0.81,0.98,0.18,0.98,Matches
3,Giorgi Aburjania,ge GEO,MF,AVS Futebol,29-347,1995,8,3,288,3.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.09,0.19,0.28,0.94,6.25,1.25,0.00,0.00,0.00,0.00,0.00,0.10,0.18,0.28,0.10,0.28,Matches
4,Adriano,br BRA,MF,Santa Clara,25-040,1999,12,11,909,10.1,0.00,0.10,0.10,0.00,0.00,0.00,0.30,0.10,0.02,0.02,0.08,0.10,1.19,3.86,0.79,0.00,0.10,0.10,0.00,0.10,0.02,0.08,0.10,0.02,0.10,Matches
5,Lucas �frico,br BRA,DF,Farense,29-313,1995,11,11,975,10.8,0.00,0.00,0.00,0.00,0.00,0.00,0.37,0.00,0.04,0.04,0.00,0.04,0.28,1.20,0.19,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches
6,Salvador Agra,pt POR,"MF,DF",Boavista,33-033,1991,13,13,1.167,13.0,0.00,0.00,0.00,0.00,0.00,0.00,0.23,0.00,0.07,0.07,0.17,0.24,2.31,2.69,6.62,0.00,0.00,0.00,0.00,0.00,0.07,0.17,0.24,0.07,0.24,Matches
7,Brandon Aguilera,cr CRC,"MF,FW",Rio Ave,21-169,2003,11,3,299,3.3,0.30,0.00,0.30,0.30,0.00,0.00,0.00,0.00,0.15,0.15,0.15,0.30,1.82,3.94,3.94,0.30,0.00,0.30,0.30,0.30,0.14,0.16,0.30,0.14,0.30,Matches
8,Jorge Aguirre,es ESP,FW,Gil Vicente FC,24-344,2000,13,6,553,6.1,0.49,0.00,0.49,0.49,0.00,0.00,0.33,0.00,0.34,0.34,0.05,0.39,0.66,1.64,4.26,0.49,0.00,0.49,0.49,0.49,0.34,0.05,0.39,0.34,0.39,Matches
9,Babatunde Akinsola,ng NGA,"FW,MF",AVS Futebol,21-279,2003,10,4,329,3.7,0.27,0.27,0.54,0.27,0.00,0.00,0.00,0.00,0.32,0.32,0.03,0.38,1.62,2.16,7.03,0.27,0.27,0.55,0.27,0.55,0.34,0.04,0.38,0.34,0.38,Matches
10,Kerem Akt�rko?lu,tr TUR,"FW,MF",Benfica,26-054,1998,8,8,560,6.2,0.97,0.48,1.45,0.97,0.00,0.00,0.00,0.00,0.39,0.39,0.23,0.60,2.90,3.87,10.0,0.96,0.48,1.45,0.96,1.45,0.38,0.22,0.60,0.38,0.60,Matches
11,L�o Alaba,br BRA,DF,AVS Futebol,25-166,1999,4,4,334,3.7,0.00,0.00,0.00,0.00,0.00,0.00,0.27,0.00,0.03,0.03,0.00,0.03,0.54,3.24,5.41,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
12,Alan,br BRA,MF,Moreirense,24-281,2000,11,11,826,9.2,0.11,0.33,0.43,0.00,0.11,0.11,0.33,0.00,0.14,0.05,0.22,0.27,1.30,6.52,2.93,0.11,0.33,0.44,0.00,0.33,0.14,0.22,0.36,0.06,0.28,Matches
13,Gon�alo Almeida,pt POR,"MF,DF",Boavista,21-222,2003,10,3,332,3.7,0.00,0.00,0.00,0.00,0.00,0.00,0.27,0.00,0.08,0.08,0.16,0.24,1.08,2.43,5.14,0.00,0.00,0.00,0.00,0.00,0.07,0.16,0.23,0.07,0.23,Matches
14,Pedro �lvaro,pt POR,DF,Estoril,24-287,2000,12,12,1.08,12.0,0.08,0.08,0.17,0.08,0.00,0.00,0.42,0.00,0.06,0.06,0.02,0.09,0.25,1.58,0.08,0.08,0.08,0.17,0.08,0.17,0.06,0.03,0.09,0.06,0.09,Matches
15,Pedro Amaral,pt POR,DF,Estoril,27-111,1997,10,10,823,9.1,0.00,0.22,0.22,0.00,0.00,0.00,0.11,0.00,0.01,0.01,0.18,0.19,1.65,3.52,4.40,0.00,0.22,0.22,0.00,0.22,0.01,0.17,0.18,0.01,0.18,Matches
16,Zeki Amdouni,ch SUI,"MF,FW",Benfica,24-010,2000,8,0,150,1.7,1.18,0.00,1.18,1.18,0.00,0.00,0.59,0.00,1.00,1.00,0.06,1.06,1.18,2.35,6.47,1.20,0.00,1.20,1.20,1.20,1.03,0.04,1.07,1.03,1.07,Matches
