Jogador,Time,Idade,Data de nascimento,Altura,Pé,Nacionalidade,Valor de mercado,Contrato expira em,Posição,Temporada,Index,Partidas jogadas,Minutos jogados,Disputas na defesa,"Disputas defensivas ganhas, %",Desarmes,% de desarmes bem sucedidos,Interceptações,Rebotes,Erros graves,Falhas em gols,Disputas no ataque,"Disputas ofensivas ganhas, %",Dribles,% de dribles com sucesso,Gols,Chances de gol,"Chances c/ sucesso, %",Chutes,Xg,Bolas perdidas,Bolas perdidas / no próprio campo,Passes,Passes chave,"Passes chave precisos,%",Passes dentro da área,"Passes dentro da área / precisos, %",Passa para o terço final,"Passa para frente (ângulo de captura - 120 graus) até o terço final, preciso, %",Escalações no time titular,Disputas aéreas,"Desafios aéreos vencidos, %",Faltas,Dribles no último terço do campo,"Dribles no último terço do campo com sucesso, %",Faltas sofridas,Bolas recuperadas,Bolas recuperadas no campo do adversário,Gols de cabeça,"Chutes no gol, %","Gols marcados do número total de chutes, %",Perdas individuais,Controle de bola ruim,Impedimentos,Passes precisos %,Assistências,Chances criadas,Passes progressivos,"Passes progressivos precisos,%",Passes longos,"Passes longos, precisos, %",Cruzamentos,% de precisão nos cruzamentos,Bolas perdidas após passes no próprio campo,xA
João Miguel,Penafiel,31,1993-09-14,190,Direita,Portugal,€300K,2024-06-30,RCD,2024/2025,179,33,3281,157,66%,25,68%,113,26,4,2,71,66%,2,50%,-,5,20%,13,1.41,95,28,1168,2,100%,17,18%,128,46%,33,166,66%,24,-,-,15,172,40,-,15%,0%,12,-,1,80%,-,3,286,55%,100,42%,2,0%,23,0.73
Bruno Rodrigues,Chaves,23,2001-06-08,192,Direita,Portugal,€1.2M,2025-06-30,RCD,2024/2025,179,33,3226,149,66%,34,59%,80,28,5,3,58,66%,2,50%,1,6,17%,20,2.95,117,33,1470,3,100%,22,9%,168,48%,33,114,67%,27,-,-,20,176,33,1,35%,5%,19,1,1,83%,1,4,358,59%,126,41%,4,25%,25,1.18
Fernando Varela,Futebol Clube De Alverca,37,1987-11-26,185,Direita,Cape Verde,€200K,2023-06-30,RCD,2024/2025,187,33,3108,119,65%,16,94%,88,16,2,1,47,66%,6,67%,3,12,33%,14,3.81,74,24,1535,4,100%,10,20%,98,53%,32,107,61%,20,1,0%,11,147,28,-,64%,21%,13,-,-,91%,-,5,247,65%,74,43%,1,100%,21,0.83
João Afonso,Tondela,35,1990-05-28,188,Direita,Portugal,€100K,2023-06-30,CD,2024/2025,176,33,3107,136,60%,20,60%,67,28,5,1,66,58%,3,67%,-,8,0%,13,2.65,53,8,1051,3,100%,4,0%,68,31%,33,152,59%,17,-,-,8,188,38,-,31%,0%,13,-,5,84%,3,6,191,56%,65,34%,3,0%,6,1.31
Cristian Tassano,Feirense,28,1996-07-23,185,Direita,"Uruguay, Italy",€225K,2025-06-30,RCD,2024/2025,179,31,3064,204,64%,33,73%,81,26,3,1,132,62%,22,73%,-,13,0%,22,3.12,112,33,1408,7,86%,14,21%,153,48%,31,196,58%,34,1,100%,21,183,29,-,23%,0%,19,2,3,83%,-,7,295,54%,125,38%,2,0%,28,0.89
Filipe Almeida,Feirense,27,1997-07-05,184,Direita,Portugal,€500K,2022-06-30,LCD,2024/2025,178,31,3063,170,61%,48,69%,116,37,5,2,46,72%,7,57%,-,6,0%,10,1.09,108,39,1618,2,100%,14,57%,158,64%,31,96,59%,21,-,-,12,212,33,-,40%,0%,4,1,1,83%,1,3,438,71%,94,38%,2,0%,38,2.09
Erick Ferigra,Pacos Ferreira,26,1999-02-07,180,Direita,"Ecuador, Spain",€450K,2024-06-30,LCD,2024/2025,177,30,2814,149,64%,30,60%,112,33,7,4,84,58%,27,67%,-,4,0%,10,1.39,60,20,1172,1,100%,6,33%,97,52%,28,105,55%,21,-,-,29,191,30,-,30%,0%,17,3,1,89%,1,2,246,71%,63,41%,-,-,12,0.26
Bebeto,Tondela,35,1990-01-01,174,Direita,Brazil,€100K,2023-06-30,RCD,2024/2025,183,32,2803,220,60%,84,63%,85,9,-,-,90,63%,23,65%,2,4,50%,17,0.91,175,46,1270,9,67%,84,30%,189,50%,30,76,64%,57,5,60%,61,194,61,-,35%,12%,53,-,-,74%,1,9,355,57%,109,34%,37,14%,24,2.15
Raphael Branco,Radomiak Radom,34,1990-07-25,190,Direita,"Brazil, Italy",€350K,2024-06-30,LCD,2024/2025,174,31,2781,111,68%,26,62%,66,-,-,-,76,71%,4,75%,-,13,0%,28,4.08,86,27,1228,6,100%,15,40%,111,47%,30,116,73%,42,-,-,20,145,29,-,14%,0%,13,-,1,82%,1,7,289,53%,80,33%,1,0%,22,2.03
Rúben Pereira,Penafiel,27,1998-04-19,193,Direita,Portugal,€325K,2022-06-30,LCD,2024/2025,185,28,2722,157,75%,28,68%,104,26,2,2,56,59%,1,0%,-,11,0%,18,2,77,18,909,-,-,18,11%,117,44%,28,143,71%,36,1,0%,11,150,25,-,22%,0%,13,-,-,80%,1,-,200,56%,86,31%,-,-,12,0.64
Hugo Basto,Leixoes,32,1993-05-14,188,Direita,Portugal,€250K,2024-05-31,RCD,2024/2025,170,27,2630,115,50%,35,46%,65,16,2,-,30,77%,2,50%,-,2,0%,5,0.57,91,24,1018,1,100%,10,10%,141,44%,27,76,57%,27,-,-,17,125,27,-,20%,0%,14,-,1,81%,-,1,296,54%,106,35%,2,0%,18,0.5
Romain Correia,Maritimo,25,1999-09-06,187,Direita,"Portugal, France",€300K,2024-06-30,RCD,2024/2025,182,28,2552,116,66%,18,67%,67,24,4,1,39,49%,4,50%,2,8,25%,17,2.3,91,18,1389,3,33%,25,32%,188,61%,25,89,58%,22,1,0%,14,134,24,1,35%,12%,14,-,-,86%,-,1,370,69%,129,44%,11,9%,12,0.8
Gabriel Brás,Porto II,21,2004-03-25,183,Direita,Portugal,€450K,2023-06-30,RCD,2024/2025,184,25,2385,125,70%,31,65%,102,28,1,1,36,72%,1,100%,1,16,13%,23,3.51,98,18,1318,1,0%,17,29%,160,47%,25,95,71%,19,1,100%,8,148,28,1,35%,4%,10,-,-,84%,1,4,329,61%,128,37%,-,-,15,1.11
Nikolaos Michelis,CD Mirandés,24,2001-03-23,192,Direita,Greece,€300K,2025-06-30,LCD,2024/2025,178,24,2218,108,73%,18,78%,56,-,-,-,29,69%,2,50%,2,6,33%,10,1.73,92,22,906,2,100%,14,0%,141,39%,22,79,75%,11,-,-,12,140,40,-,30%,20%,5,-,-,76%,1,1,261,50%,111,28%,-,-,19,0.59
Rodrigo Freitas,Mafra,26,1998-06-17,189,Direita,Brazil,€400K,2022-12-31,RCD,2024/2025,165,25,2211,99,60%,20,45%,65,16,4,3,22,59%,3,33%,-,-,-,1,0.14,59,22,985,1,100%,7,14%,99,51%,22,67,66%,26,-,-,12,100,20,-,0%,0%,10,-,1,85%,-,1,243,63%,65,40%,-,-,17,0.31
Arthur Chaves,TSG 1899 Hoffenheim,24,2001-01-29,187,Direita,Brazil,€1.5M,2019-12-31,RCD,2024/2025,199,24,2126,200,51%,62,52%,99,20,5,3,71,66%,10,40%,-,5,0%,10,0.98,84,30,1124,2,100%,9,11%,104,56%,22,130,55%,34,3,33%,16,137,55,-,10%,0%,18,1,1,84%,-,2,224,58%,36,31%,4,0%,23,0.56
André Ceitil,Tondela,30,1995-03-11,184,Direita,Portugal,€450K,2023-06-30,RCD,2024/2025,182,29,1949,118,63%,31,71%,68,24,2,-,107,64%,10,40%,3,8,38%,16,2.17,76,18,780,7,86%,14,29%,92,49%,19,121,65%,52,1,0%,21,118,41,1,44%,19%,22,-,2,79%,1,6,194,54%,24,29%,6,17%,9,1.7
André Almeida,Academico Viseu,30,1995-05-16,191,Direita,Portugal,€400K,2022-06-30,RCD,2024/2025,179,21,1915,123,63%,24,67%,96,25,5,-,45,58%,4,50%,2,6,33%,8,1.97,75,13,842,5,60%,19,21%,146,43%,21,106,59%,23,-,-,7,139,31,2,38%,25%,10,-,-,78%,-,3,262,53%,116,34%,2,0%,11,0.34
Bura,Uniao Desportiva Leiria,36,1988-12-17,191,Direita,Portugal,€50K,2023-06-30,RCD,2024/2025,183,22,1859,103,61%,23,61%,69,29,1,-,44,52%,1,100%,1,6,17%,18,2.99,99,27,1078,2,100%,16,6%,128,50%,20,92,59%,15,-,-,3,141,15,-,17%,6%,12,-,-,82%,2,2,274,59%,115,43%,3,33%,25,1.11
Bryan Passi,Mafra,27,1997-08-05,189,Direita,"Congo, France",€500K,2024-06-30,RCD,2024/2025,174,20,1724,92,68%,11,55%,54,18,6,3,42,62%,5,40%,1,4,25%,10,1.4,100,23,836,2,100%,41,22%,127,43%,18,97,70%,10,2,0%,11,107,20,1,10%,10%,14,2,1,74%,2,3,236,53%,94,41%,3,33%,17,0.87
