Jogador,Time,Idade,Data de nascimento,Altura,Pé,Nacionalidade,Valor de mercado,Contrato expira em,Posição,Temporada,Index,Partidas jogadas,Minutos jogados,Disputas na defesa,"Disputas defensivas ganhas, %",Desarmes,% de desarmes bem sucedidos,Interceptações,Rebotes,Erros graves,Falhas em gols,Disputas no ataque,"Disputas ofensivas ganhas, %",Dribles,% de dribles com sucesso,Gols,Chances de gol,"Chances c/ sucesso, %",Chutes,Xg,Bolas perdidas,Bolas perdidas / no próprio campo,Passes,Passes chave,"Passes chave precisos,%",Passes dentro da área,"Passes dentro da área / precisos, %",Passa para o terço final,"Passa para frente (ângulo de captura - 120 graus) até o terço final, preciso, %",Escalações no time titular,Disputas aéreas,"Desafios aéreos vencidos, %",Faltas,Dribles no último terço do campo,"Dribles no último terço do campo com sucesso, %",Faltas sofridas,Bolas recuperadas,Bolas recuperadas no campo do adversário,Gols de cabeça,"Chutes no gol, %","Gols marcados do número total de chutes, %",Perdas individuais,Controle de bola ruim,Impedimentos,Passes precisos %,Assistências,Chances criadas,Passes progressivos,"Passes progressivos precisos,%",Passes longos,"Passes longos, precisos, %",Cruzamentos,% de precisão nos cruzamentos,Bolas perdidas após passes no próprio campo,xA
Ricardo Alves,Tondela,34,1991-05-09,181,Canhoto,Portugal,€125K,2023-06-30,LCD,2024/2025,178,34,3251,162,61%,26,54%,58,23,6,2,76,61%,11,73%,4,9,44%,15,3.25,113,21,1294,3,100%,32,38%,183,56%,34,161,60%,32,4,75%,30,154,31,2,60%,27%,15,-,-,82%,-,5,375,61%,109,44%,5,20%,16,0.3
Felipe Silva,Porto II,23,2002-02-19,190,Canhoto,Brazil,€100K,2025-12-31,LCD,2024/2025,182,31,2997,144,65%,36,64%,95,12,5,-,64,78%,1,100%,3,16,19%,23,2.87,120,37,1609,3,100%,23,9%,172,48%,31,137,69%,40,-,-,17,175,40,3,48%,13%,17,1,-,86%,1,4,335,59%,112,39%,2,0%,29,0.93
Moustapha Seck,Neftchi Baku,29,1996-02-23,176,Canhoto,Senegal,€400K,2025-06-30,LCD,2024/2025,184,33,2768,271,56%,89,58%,135,139,26,5,190,54%,91,66%,-,2,0%,11,0.54,201,53,1477,21,48%,97,41%,175,61%,32,80,58%,62,29,52%,23,143,39,-,9%,0%,65,26,1,81%,2,12,300,66%,81,43%,74,27%,35,3.1
Stopira,Sport Clube Uniao Torreense,37,1988-05-20,180,Canhoto,Cape Verde,€100K,2023-06-30,LCD,2024/2025,185,29,2707,156,72%,35,80%,124,21,6,1,97,66%,11,64%,2,11,18%,25,3.52,135,28,1328,5,100%,26,23%,235,45%,27,140,69%,34,2,50%,12,206,68,2,32%,8%,23,2,1,78%,-,5,364,57%,140,36%,5,20%,21,2.43
Nuno Namora,Uniao Desportiva Oliveirense,27,1998-02-12,178,Canhoto,Portugal,€100K,2022-06-30,LCD,2024/2025,167,28,2566,166,49%,33,70%,97,12,7,5,51,76%,7,57%,-,3,0%,11,0.92,134,36,1191,6,100%,60,20%,204,45%,27,107,49%,23,1,100%,29,159,36,-,0%,0%,26,-,-,75%,-,6,337,55%,130,35%,18,22%,26,1.84
Nuno Miguel Adro Tomas,CF Os Belenenses,29,1995-09-15,184,Canhoto,Portugal,-,2023-06-30,LCD,2024/2025,182,22,2170,246,69%,55,58%,185,123,16,5,58,71%,8,100%,2,11,18%,14,2.47,94,20,994,4,25%,18,17%,143,50%,22,145,72%,21,-,-,23,180,24,1,50%,14%,12,3,2,80%,-,2,305,60%,76,50%,1,100%,19,0.25
Filipe Relvas,Portimonense SC,25,1999-09-20,192,Canhoto,Portugal,€3.5M,2026-06-30,LCD,2024/2025,192,24,2168,142,69%,31,74%,95,22,4,2,49,73%,4,50%,-,8,0%,16,1.89,80,27,1152,2,100%,22,55%,129,61%,22,99,70%,22,-,-,9,150,28,-,19%,0%,15,2,1,85%,2,2,231,70%,59,42%,5,20%,21,0.58
Jean-Pierre Rhyner,Vizela,29,1996-03-16,188,Canhoto,"Switzerland, Peru",€200K,2023-06-30,LCD,2024/2025,185,23,1982,131,64%,22,73%,53,6,2,-,35,63%,2,50%,1,3,33%,3,0.37,64,16,1317,-,-,9,11%,156,69%,21,97,61%,40,-,-,18,136,37,-,33%,33%,12,1,-,90%,1,1,342,78%,61,41%,-,-,10,0.34
Tiago Ferreira,Uniao Desportiva Leiria,31,1993-07-10,185,Canhoto,Portugal,€125K,2024-06-30,LCD,2024/2025,176,27,1893,54,67%,14,71%,47,9,-,-,21,67%,7,86%,-,3,0%,4,0.44,66,27,1008,-,-,12,50%,93,69%,18,36,64%,17,2,100%,6,103,22,-,75%,0%,12,-,1,87%,2,2,234,72%,38,50%,1,0%,21,0.53
Rodrigo Borges,Maritimo,26,1998-08-05,187,Canhoto,Portugal,€400K,2021-06-30,LCD,2024/2025,180,22,1889,96,60%,16,63%,57,31,6,4,49,69%,4,75%,3,5,60%,8,1.43,81,25,995,2,50%,16,25%,108,56%,20,86,62%,33,1,0%,21,123,23,3,50%,38%,13,1,1,84%,-,1,266,64%,74,39%,1,0%,19,0.86
Yuki Kobayashi,Portimonense SC,24,2000-07-18,185,Canhoto,Japan,€650K,2023-01-31,LCD,2024/2025,171,22,1831,95,65%,19,63%,56,3,1,-,24,71%,1,100%,-,4,0%,8,2.06,68,16,781,-,-,23,30%,118,45%,20,76,68%,13,-,-,7,108,19,-,63%,0%,11,-,1,81%,-,1,207,57%,82,34%,-,-,10,0.02
Rafael Santos,CD Santa Clara,27,1998-02-02,190,Canhoto,Brazil,€350K,2025-06-30,LCD,2024/2025,173,17,1501,62,61%,16,63%,38,-,-,-,33,73%,1,100%,-,6,0%,7,1.66,56,21,608,-,-,8,13%,66,47%,14,54,57%,19,-,-,5,60,9,-,29%,0%,6,-,-,82%,-,2,148,57%,49,29%,-,-,17,-
Goncalo Soares Cardoso,Pacos Ferreira,24,2000-10-21,186,Canhoto,Portugal,€200K,2022-06-30,LCD,2024/2025,162,16,1331,91,54%,15,33%,48,13,9,5,20,60%,-,-,-,3,0%,2,0.17,38,11,491,-,-,8,25%,44,41%,15,69,58%,21,-,-,12,57,13,-,0%,0%,5,-,-,84%,-,-,91,49%,40,35%,-,-,9,0.15
Gustavo Fernandes,Penafiel,25,1999-07-05,195,Canhoto,Brazil,-,2022-07-01,LCD,2024/2025,171,21,1250,54,63%,11,55%,27,-,-,-,39,56%,3,33%,-,9,11%,9,0.72,57,13,514,-,-,3,0%,67,51%,11,62,63%,14,-,-,9,71,12,-,22%,0%,16,-,1,80%,-,1,127,56%,56,34%,1,0%,11,0.19
Julián Bonilla,Futebol Clube De Felgueiras,28,1996-11-21,,Canhoto,Colombia,-,-,LCD,2024/2025,185,13,649,31,42%,8,50%,29,4,-,-,17,47%,2,50%,1,2,50%,4,0.34,29,9,327,-,-,3,33%,33,64%,7,28,43%,5,1,100%,5,39,6,1,25%,25%,8,1,3,83%,-,-,67,61%,18,44%,-,-,6,-
Vasco Oliveira,Torreense U23,25,2000-05-28,187,Canhoto,Portugal,€500K,2025-06-30,LCD,2024/2025,167,10,579,42,43%,10,50%,26,11,1,1,9,22%,1,0%,-,2,0%,7,0.84,33,6,274,-,-,11,27%,50,62%,6,21,43%,15,-,-,3,26,8,-,29%,0%,8,-,-,81%,1,-,83,55%,32,44%,2,50%,4,0.25
Simao Martins Carvalho Martins,-,27,1997-09-12,183,Canhoto,Portugal,€300K,2022-06-30,LCD,2024/2025,161,8,523,27,48%,3,33%,10,-,-,-,8,50%,-,-,1,2,50%,2,0.04,12,4,178,-,-,2,0%,15,47%,5,24,42%,6,-,-,7,34,9,-,50%,50%,-,-,-,80%,-,-,37,41%,12,25%,-,-,4,0.01
Iago Reis,Ferroviario,25,1999-11-02,187,Canhoto,Brazil,€250K,2023-06-30,LCD,2024/2025,165,5,379,22,45%,7,14%,8,5,1,-,7,43%,1,100%,-,1,0%,-,-,16,6,214,1,100%,2,50%,17,41%,3,18,50%,10,-,-,5,26,5,-,-,-,4,-,-,82%,1,2,53,62%,16,50%,-,-,3,0.37
Adrian Bajrami,Benfica II,23,2002-04-05,188,Canhoto,"Albania, Switzerland",€1.5M,2023-06-30,LCD,2024/2025,181,3,177,5,40%,-,-,5,-,-,-,5,80%,2,100%,-,1,0%,2,0.79,5,-,131,-,-,2,0%,12,33%,2,5,60%,2,-,-,-,7,2,-,50%,0%,-,-,-,92%,1,1,22,64%,7,57%,-,-,-,-
Mamadou Mbaye,Cádiz CF,26,1998-06-28,192,Canhoto,Senegal,-,2020-06-30,LCD,2024/2025,-,2,89,2,50%,-,-,2,-,-,-,2,100%,-,-,-,2,0%,3,0.17,1,1,46,-,-,2,50%,7,57%,2,3,100%,1,-,-,2,2,-,-,0%,0%,-,-,-,80%,-,-,16,56%,5,60%,-,-,1,0.1
