Jogador,Time,Idade,Data de nascimento,Altura,Pé,Nacionalidade,Valor de mercado,Contrato expira em,Posição,Temporada,Index,Partidas jogadas,Escalações no time titular,Minutos jogados,Disputas aéreas,"Desafios aéreos vencidos, %",Disputas na defesa,"Disputas defensivas ganhas, %",Desarmes,% de desarmes bem sucedidos,Interceptações,Rebotes,Faltas,Erros graves,Falhas em gols,Disputas no ataque,"Disputas ofensivas ganhas, %",Dribles,% de dribles com sucesso,Faltas sofridas,Bolas recuperadas,Gols,Chances de gol,"Chances c/ sucesso, %",Chutes,"Chutes no gol, %",Xg,Bolas perdidas / no próprio campo,Perdas individuais,Passes,Passes precisos %,Assistências,Chances criadas,Passes chave,"Passes chave precisos,%",Passes dentro da área,"Passes dentro da área / precisos, %",Passes progressivos,"Passes progressivos precisos,%",Passes longos,"Passes longos, precisos, %",Cruzamentos,% de precisão nos cruzamentos,Bolas perdidas após passes no próprio campo,xA,Dribles no último terço do campo,"Dribles no último terço do campo com sucesso, %",Bolas recuperadas no campo do adversário,Gols de cabeça,"Gols marcados do número total de chutes, %",Bolas perdidas,Controle de bola ruim,Impedimentos,Passa para o terço final,"Passa para frente (ângulo de captura - 120 graus) até o terço final, preciso, %"
Diogo Alexandre Brasido Teles Furtado Silva,CF Os Belenenses,22,2003-05-24,,-,Portugal,-,-,RD,2024/2025,196,33,33,3261,66,61%,292,64%,132,73%,142,154,50,24,3,243,52%,124,60%,44,178,1,6,17%,13,15%,1.36,42,76,1285,81%,1,9,19,42%,102,56%,156,60%,19,32%,89,30%,22,6.59,67,49%,43,-,8%,188,27,1,100,65%
Habib Sylla,Uniao Desportiva Leiria,26,1999-02-12,178,Direita,Cote d'Ivoire,€250K,2022-06-30,RD,2024/2025,190,32,32,3061,69,42%,160,56%,51,84%,86,24,51,5,-,133,52%,59,56%,27,169,1,5,20%,12,17%,0.51,50,74,1512,77%,1,9,10,80%,124,35%,288,59%,92,38%,67,13%,28,2.87,21,48%,38,-,8%,222,5,1,180,51%
Diga,Feirense,27,1998-03-30,177,Direita,Portugal,€350K,2023-06-30,RD,2024/2025,178,33,33,2982,64,39%,155,49%,46,50%,65,29,25,1,-,66,38%,21,38%,24,120,-,7,0%,18,28%,1.32,42,52,1300,75%,1,10,9,100%,101,38%,247,57%,57,47%,68,18%,33,3.15,10,50%,39,-,0%,174,3,3,148,57%
Carraça,Chaves,32,1993-03-01,177,Direita,Portugal,€700K,2024-06-30,RD,2024/2025,195,32,30,2945,59,37%,138,45%,51,53%,68,30,31,-,-,103,44%,37,41%,42,109,2,9,44%,38,26%,2.14,41,80,1624,76%,6,40,33,97%,219,33%,251,67%,101,51%,100,24%,29,9.3,18,33%,20,-,5%,217,2,9,162,61%
Miguel Pires,Futebol Clube De Alverca,23,2002-05-23,,Direita,Portugal,-,-,RD,2024/2025,184,34,27,2902,49,41%,131,53%,45,71%,71,19,29,4,3,136,46%,59,56%,12,138,1,4,25%,8,25%,0.7,51,67,1230,79%,6,14,10,90%,50,58%,274,59%,59,42%,27,11%,30,2.58,26,35%,44,-,13%,175,1,3,152,59%
Maga,Penafiel,26,1999-04-19,175,Direita,Portugal,€400K,2021-06-30,RD,2024/2025,178,30,29,2814,68,38%,163,59%,43,77%,83,21,42,1,-,47,66%,17,59%,26,105,3,5,100%,5,60%,1.2,37,36,1143,69%,-,7,6,83%,68,43%,289,50%,85,31%,53,9%,25,2.29,7,43%,24,-,60%,188,2,2,209,51%
Paulinho,Academico Viseu,33,1991-07-13,176,Direita,Portugal,€200K,2022-06-30,RD,2024/2025,178,30,27,2772,61,48%,100,48%,30,63%,62,14,37,1,1,91,49%,34,44%,17,104,4,5,80%,21,33%,2.13,32,73,1062,65%,5,14,13,92%,103,30%,249,41%,74,34%,64,17%,22,3.89,21,43%,34,1,19%,210,2,-,197,46%
Anilson,Pacos Ferreira,23,2001-09-04,185,Ambos,Brazil,-,-,RD,2024/2025,176,33,25,2465,109,53%,196,58%,68,60%,110,21,44,1,-,105,50%,27,44%,40,146,-,6,0%,11,36%,1.3,52,60,1103,70%,2,10,9,100%,57,32%,272,50%,107,40%,56,21%,35,2.7,11,36%,39,-,0%,189,-,3,177,53%
Jean Felipe,Vizela,26,1999-05-18,179,Direita,Brazil,€500K,2022-06-30,RD,2024/2025,181,27,23,2290,47,62%,126,58%,52,60%,87,16,11,3,1,54,70%,17,47%,14,127,1,4,25%,11,27%,0.38,30,34,1026,65%,3,27,26,92%,173,37%,258,51%,84,38%,52,19%,22,6.33,6,17%,31,-,9%,156,2,1,190,52%
Casimiro,Uniao Desportiva Oliveirense,26,1998-12-14,176,Direita,Portugal,€275K,2021-06-30,RD,2024/2025,182,26,24,2246,50,66%,139,64%,45,67%,63,-,33,-,-,115,56%,55,44%,27,109,3,3,100%,17,24%,0.54,37,57,1058,74%,3,8,5,100%,50,34%,254,57%,78,36%,20,20%,20,2.29,23,30%,27,-,18%,169,-,3,176,55%
