Jogador,Time,Idade,Data de nascimento,Altura,Pé,Nacionalidade,Valor de mercado,Contrato expira em,Posição,Temporada,Index,Partidas jogadas,Escalações no time titular,Minutos jogados,Disputas aéreas,"Desafios aéreos vencidos, %",Disputas na defesa,"Disputas defensivas ganhas, %",Desarmes,% de desarmes bem sucedidos,Interceptações,Rebotes,Faltas,Erros graves,Falhas em gols,Disputas no ataque,"Disputas ofensivas ganhas, %",Dribles,% de dribles com sucesso,Faltas sofridas,Bolas recuperadas,Gols,Chances de gol,"Chances c/ sucesso, %",Chutes,"Chutes no gol, %",Xg,Bolas perdidas / no próprio campo,Perdas individuais,Passes,Passes precisos %,Assistências,Chances criadas,Passes chave,"Passes chave precisos,%",Passes dentro da área,"Passes dentro da área / precisos, %",Passes progressivos,"Passes progressivos precisos,%",Passes longos,"Passes longos, precisos, %",Cruzamentos,% de precisão nos cruzamentos,Bolas perdidas após passes no próprio campo,xA,Dribles no último terço do campo,"Dribles no último terço do campo com sucesso, %",Bolas recuperadas no campo do adversário,Gols de cabeça,"Gols marcados do número total de chutes, %",Bolas perdidas,Controle de bola ruim,Impedimentos,Passa para o terço final,"Passa para frente (ângulo de captura - 120 graus) até o terço final, preciso, %"
Antunes,Pacos Ferreira,38,1987-04-01,175,Canhoto,Portugal,€75K,2023-06-30,LD,2024/2025,187,34,34,3072,66,45%,191,53%,65,58%,101,50,38,5,3,87,46%,32,34%,37,141,5,13,46%,39,28%,4.79,50,65,1705,72%,3,32,28,96%,203,36%,406,58%,150,44%,95,17%,28,7,16,13%,32,-,13%,245,6,-,271,57%
Evandro Miguel Ramos Barros,CF Os Belenenses,25,1999-06-27,166,Canhoto,"Portugal, Cape Verde",-,2022-06-30,LD,2024/2025,185,33,32,2939,107,55%,299,50%,129,53%,184,177,39,7,1,412,44%,204,51%,49,146,3,8,38%,32,34%,1.47,58,151,1149,71%,-,10,15,33%,125,38%,221,60%,38,34%,101,13%,25,4.11,113,45%,40,-,9%,287,39,5,111,54%
Kiko,Benfica II,23,2002-04-16,160,Canhoto,Portugal,€250K,2021-06-30,LD,2024/2025,192,30,30,2831,66,52%,188,57%,81,60%,98,28,35,3,1,101,59%,39,51%,25,127,1,6,17%,13,15%,1.34,33,40,1360,80%,3,14,12,92%,67,42%,307,62%,72,42%,29,7%,25,2.24,17,41%,31,-,8%,168,5,2,183,53%
Edwin Banguera,Futebol Clube De Felgueiras,28,1996-08-12,179,Canhoto,Colombia,-,2022-06-30,LD,2024/2025,187,30,29,2729,115,67%,174,62%,51,67%,70,27,44,1,1,98,60%,26,54%,38,154,-,8,0%,18,33%,1.73,24,38,1466,74%,3,10,9,78%,137,31%,381,58%,126,37%,60,22%,18,3.05,19,53%,47,-,0%,170,4,-,259,54%
Orest Lebedenko,Vizela,26,1998-09-23,176,Canhoto,Ukraine,€400K,2023-06-30,LD,2024/2025,202,30,29,2711,64,44%,178,56%,59,58%,83,26,36,3,-,145,49%,63,51%,31,197,3,14,21%,38,32%,3.51,41,70,1390,83%,7,15,9,100%,72,49%,287,61%,46,26%,40,8%,24,6.23,20,40%,50,2,8%,171,5,1,182,63%
João Silva,Penafiel,27,1998-02-18,183,Canhoto,Portugal,€300K,2022-06-30,LD,2024/2025,190,30,27,2632,70,60%,188,56%,81,54%,80,45,36,4,1,136,52%,53,43%,46,166,1,7,14%,43,26%,2.97,64,62,1303,75%,4,14,8,100%,85,34%,211,55%,78,28%,56,16%,46,5.12,20,30%,43,-,2%,192,7,-,154,53%
Simãozinho,Leixoes,30,1995-05-31,180,Canhoto,Portugal,-,2021-06-30,LD,2024/2025,187,27,26,2520,64,55%,143,59%,54,65%,69,24,33,3,-,82,62%,23,65%,24,116,2,9,22%,20,35%,1.17,43,56,1251,70%,4,21,18,89%,106,35%,303,55%,82,33%,78,23%,31,5.84,12,67%,32,-,10%,193,3,-,192,58%
Luís Bastos,Uniao Desportiva Oliveirense,23,2001-09-10,175,Canhoto,Portugal,€200K,2025-06-30,LD,2024/2025,175,31,25,2454,69,36%,165,46%,54,59%,82,28,45,3,2,71,54%,27,56%,42,126,2,12,33%,30,30%,1.44,47,53,1318,68%,2,21,19,84%,162,28%,293,57%,111,35%,53,15%,37,6.05,8,50%,42,-,7%,230,4,1,212,52%
Marc Baró,Uniao Desportiva Leiria,25,1999-08-23,180,Canhoto,Spain,€200K,2023-06-30,LD,2024/2025,188,30,25,2401,30,60%,112,56%,49,59%,49,12,42,4,-,126,57%,58,62%,84,86,-,3,0%,8,25%,0.72,46,72,1048,75%,3,26,25,84%,118,34%,178,61%,57,47%,93,13%,23,5.74,19,63%,31,-,0%,173,2,4,102,60%
Djé Beni,Mafra,20,2005-05-13,,-,Cote d'Ivoire,-,-,LD,2024/2025,170,27,25,2388,56,48%,134,55%,42,64%,62,22,42,2,-,87,59%,39,54%,32,122,-,1,100%,7,0%,0.18,36,63,1151,66%,4,7,3,33%,87,26%,293,43%,115,25%,66,9%,24,2.43,20,50%,40,-,0%,221,6,-,218,43%
Gui Ferreira,Mafra,34,1991-04-17,183,Canhoto,Portugal,€100K,2023-06-30,LD,2024/2025,170,24,22,2098,51,49%,143,51%,52,56%,71,17,29,2,-,65,49%,27,48%,38,106,2,6,33%,16,25%,2.41,25,41,928,73%,1,9,6,83%,88,34%,170,55%,71,38%,36,25%,17,1.6,18,50%,35,-,13%,133,3,1,139,48%
Pedro Rosas,Futebol Clube De Felgueiras,24,2000-11-28,189,Canhoto,Portugal,-,2022-06-30,LD,2024/2025,186,27,19,1886,62,58%,85,56%,24,63%,45,1,42,-,-,76,45%,18,22%,13,86,2,13,15%,23,22%,1.61,12,41,659,75%,5,16,14,93%,62,50%,164,65%,40,45%,40,13%,6,3.27,13,23%,44,-,9%,96,1,2,103,61%
Henrique Gomes,Academico Viseu,29,1995-11-30,185,Canhoto,Portugal,€150K,2022-06-30,LD,2024/2025,173,20,18,1719,55,56%,113,59%,33,61%,40,-,28,-,-,46,50%,20,45%,29,93,1,3,33%,10,30%,0.31,38,27,918,75%,-,1,1,100%,22,27%,213,59%,48,38%,10,30%,30,0.99,4,25%,28,1,10%,105,-,1,120,51%
Bruno Silva,Feirense,32,1992-09-14,170,Canhoto,Brazil,€75K,2022-06-30,LD,2024/2025,188,20,17,1557,46,70%,141,60%,60,60%,53,20,19,4,1,84,58%,32,47%,15,85,-,2,0%,8,25%,1,32,37,879,80%,1,11,11,91%,62,39%,155,65%,36,33%,35,23%,19,2.27,10,40%,17,-,0%,108,1,3,89,66%
Shinga,Futebol Clube De Alverca,25,2000-03-30,175,Canhoto,South Africa,€350K,2023-06-30,LD,2024/2025,181,20,17,1526,39,49%,64,44%,20,35%,38,-,11,-,-,25,56%,8,50%,4,63,-,1,0%,4,50%,0.27,25,26,593,80%,-,7,8,100%,29,52%,102,66%,21,19%,15,7%,20,2.02,3,33%,12,-,0%,81,-,-,60,58%
Vítor Bruno,Academica,35,1990-01-13,171,Canhoto,Portugal,-,2023-06-30,LD,2024/2025,192,21,15,1518,49,59%,120,61%,32,59%,83,83,8,8,4,48,60%,19,79%,18,75,-,2,0%,13,15%,0.49,21,20,868,79%,2,15,18,67%,137,55%,200,66%,75,63%,51,37%,16,6.44,11,73%,14,-,0%,111,10,2,131,64%
China,Maritimo,32,1992-07-07,179,Canhoto,Portugal,€100K,2023-06-30,LD,2024/2025,184,24,18,1481,41,49%,95,62%,27,85%,41,18,19,3,3,61,46%,22,55%,20,82,2,4,50%,8,38%,0.36,16,32,678,74%,2,8,4,100%,30,43%,160,56%,31,52%,39,28%,8,1.35,10,60%,22,-,25%,94,2,1,116,58%
Aarón Romero,Chaves,25,1999-06-15,178,Canhoto,Spain,-,2023-06-30,LD,2024/2025,185,21,14,1469,25,32%,76,49%,27,56%,26,-,4,-,-,47,47%,26,46%,12,92,-,-,-,6,17%,0.12,23,32,886,81%,3,11,7,100%,49,33%,170,72%,27,44%,31,3%,15,2.71,14,36%,20,-,0%,81,-,-,91,69%
Kiko,Chaves,25,1999-09-08,177,Canhoto,Portugal,-,2022-06-30,LD,2024/2025,190,17,16,1440,50,64%,129,65%,36,75%,47,32,22,5,3,59,61%,26,46%,19,99,-,-,-,2,0%,0.08,27,31,784,73%,2,10,8,75%,57,28%,148,65%,55,45%,56,29%,19,2.13,11,45%,19,-,0%,115,5,-,106,59%
Igor Milioransa,Academico Viseu,28,1996-09-12,185,Canhoto,Brazil,€400K,2020-04-30,LD,2024/2025,186,18,14,1406,44,68%,110,57%,34,59%,58,24,34,7,1,92,47%,42,43%,9,72,-,2,0%,7,14%,0.55,29,46,653,72%,1,7,5,80%,36,47%,164,54%,48,46%,22,18%,19,2.58,17,41%,18,-,0%,123,3,1,112,56%
Tiago Parente,Benfica U23,18,2006-06-12,,-,Portugal,-,-,LD,2024/2025,182,22,14,1334,36,78%,116,58%,56,52%,86,56,26,6,2,41,73%,16,56%,8,101,-,1,0%,4,50%,0.11,18,14,976,81%,5,13,14,71%,99,45%,212,72%,63,56%,31,29%,15,3.17,5,80%,34,-,0%,90,7,1,119,69%
Kaio Henrique,Porto II,19,2006-03-22,,-,Brazil,-,-,LD,2024/2025,172,16,14,1277,24,33%,56,39%,15,67%,29,-,16,-,-,26,58%,15,40%,16,44,-,-,-,4,50%,0.08,26,21,524,77%,2,4,1,100%,20,20%,94,60%,29,28%,5,0%,19,0.46,7,57%,12,-,0%,77,-,-,79,62%
Thauan Lara dos Santos,Futebol Clube De Alverca,21,2004-01-22,174,Canhoto,Brazil,€1000K,2025-12-31,LD,2024/2025,186,18,10,1131,19,68%,64,63%,21,76%,20,-,14,1,1,48,65%,26,58%,31,55,-,3,0%,12,42%,0.58,16,18,587,72%,2,9,7,100%,64,28%,107,50%,48,48%,34,15%,10,2.41,8,50%,11,-,0%,69,-,-,70,43%
Henrique Gelain,Leixoes,30,1995-01-05,179,Canhoto,Brazil,€275K,2022-06-30,LD,2024/2025,175,21,9,1072,36,50%,47,53%,12,67%,35,1,16,-,-,53,55%,9,56%,9,41,-,3,0%,9,11%,0.62,15,29,502,66%,4,15,10,100%,56,43%,122,51%,47,30%,23,13%,11,2.24,4,50%,13,-,0%,96,1,-,94,55%
Keffel,-,25,1999-09-27,179,-,Brazil,€375K,-,LD,2024/2025,178,12,10,1013,18,33%,53,53%,19,42%,19,-,9,-,-,51,51%,24,50%,22,42,-,-,-,4,50%,0.11,30,38,561,71%,3,6,4,100%,46,39%,129,66%,55,53%,44,23%,20,1.53,7,29%,9,-,0%,98,-,-,81,63%
Káká,Uniao Desportiva Leiria,32,1992-10-06,172,Canhoto,Portugal,€150K,2022-06-30,LD,2024/2025,183,17,10,928,20,75%,47,60%,20,55%,20,11,16,1,-,36,61%,8,38%,15,33,-,1,0%,2,0%,0.05,13,19,391,84%,-,-,-,-,8,38%,62,58%,15,40%,15,47%,7,0.05,2,0%,5,-,0%,42,-,1,36,58%
Afonso Freitas,CD Nacional,25,2000-04-07,181,Canhoto,Portugal,€1.5M,2021-06-30,LD,2024/2025,176,13,10,824,20,80%,39,69%,13,62%,17,1,13,-,-,20,40%,8,38%,9,49,-,-,-,-,-,-,8,15,303,78%,1,4,3,100%,22,45%,50,76%,7,29%,19,37%,5,0.64,5,60%,12,-,-,41,-,1,24,88%
Berna,Futebol Clube De Felgueiras,21,2003-09-15,169,Canhoto,Portugal,€300K,2022-06-30,LD,2024/2025,181,20,3,796,28,54%,66,64%,22,59%,17,11,21,-,-,40,45%,11,45%,18,44,-,1,0%,15,20%,0.69,5,24,395,74%,2,17,14,93%,52,46%,104,57%,27,52%,23,35%,2,2.92,9,44%,15,-,0%,56,3,-,71,46%
Pedro Empis,Maritimo Madeira II,28,1997-02-01,177,Canhoto,Portugal,€300K,2023-06-30,LD,2024/2025,178,13,6,753,24,46%,63,52%,25,64%,43,26,7,6,2,29,41%,11,64%,8,47,-,-,-,3,67%,0.19,15,14,382,80%,1,4,3,67%,38,42%,46,65%,18,33%,25,24%,8,0.98,7,71%,12,-,0%,45,4,-,22,64%
João Reis,Vizela,32,1992-06-24,174,Canhoto,Portugal,€300K,2023-06-30,LD,2024/2025,185,13,5,707,26,58%,51,59%,20,45%,15,6,9,1,-,26,31%,7,14%,12,37,-,1,0%,6,50%,0.2,10,11,384,85%,-,1,1,100%,6,33%,76,62%,14,29%,3,0%,7,0.12,2,0%,10,-,0%,38,-,-,51,63%
Bruno Pereira,Penafiel,27,1998-01-27,177,Canhoto,Portugal,€125K,2024-06-30,LD,2024/2025,185,16,6,672,11,36%,27,56%,10,60%,5,-,5,-,-,19,37%,10,50%,12,21,-,-,-,10,20%,0.23,9,15,292,74%,1,8,7,100%,39,38%,68,63%,29,38%,13,31%,6,2.4,6,17%,7,-,0%,36,-,-,39,51%
André Lopes,Mafra,23,2001-11-02,,-,Portugal,-,-,LD,2024/2025,184,8,7,647,10,40%,34,68%,13,62%,9,-,4,-,-,15,47%,7,43%,-,42,-,1,0%,6,17%,0.14,18,15,363,78%,-,3,3,100%,14,14%,56,45%,22,27%,12,33%,11,0.25,1,0%,9,-,0%,52,-,-,33,55%
Hélder Sá,Rio Ave U23,22,2002-11-10,186,Canhoto,Portugal,€450K,2025-06-30,LD,2024/2025,178,12,6,645,12,58%,35,71%,17,65%,21,9,11,1,1,32,56%,16,63%,4,38,-,1,0%,2,0%,0.09,14,16,334,78%,-,1,1,100%,17,59%,60,68%,11,64%,9,0%,10,0.32,6,50%,12,-,0%,46,2,-,32,56%
