Jogador,Time,Idade,Data de nascimento,Altura,Pé,Nacionalidade,Valor de mercado,Contrato expira em,Posição,Temporada,Index,Partidas jogadas,Minutos jogados,Disputas na defesa,"Disputas defensivas ganhas, %",Desarmes,% de desarmes bem sucedidos,Interceptações,Rebotes,Erros graves,Falhas em gols,Disputas no ataque,"Disputas ofensivas ganhas, %",Dribles,% de dribles com sucesso,Gols,Chances de gol,"Chances c/ sucesso, %",Chutes,Xg,Bolas perdidas,Bolas perdidas / no próprio campo,Passes,Passes chave,"Passes chave precisos,%",Passes dentro da área,"Passes dentro da área / precisos, %",Passa para o terço final,"Passa para frente (ângulo de captura - 120 graus) até o terço final, preciso, %",Escalações no time titular,Disputas aéreas,"Desafios aéreos vencidos, %",Faltas,Dribles no último terço do campo,"Dribles no último terço do campo com sucesso, %",Faltas sofridas,Bolas recuperadas,Bolas recuperadas no campo do adversário,Gols de cabeça,"Chutes no gol, %","Gols marcados do número total de chutes, %",Perdas individuais,Controle de bola ruim,Impedimentos,Passes precisos %,Assistências,Chances criadas,Passes progressivos,"Passes progressivos precisos,%",Passes longos,"Passes longos, precisos, %",Cruzamentos,% de precisão nos cruzamentos,Bolas perdidas após passes no próprio campo,xA
Daniel Candeias,Adanaspor,37,1988-02-25,177,Direita,Portugal,€100K,2023-06-30,RAM,2024/2025,171,34,2766,138,41%,81,47%,77,97,2,-,198,39%,52,40%,4,14,29%,46,4.86,313,38,1198,26,62%,228,36%,169,47%,31,79,37%,37,26,35%,18,65,34,-,35%,9%,110,8,9,63%,3,22,279,50%,65,38%,142,22%,21,8.23
Patrick,Maritimo,31,1993-12-13,190,Direita,Cape Verde,€225K,2022-06-30,RAM,2024/2025,175,30,2488,94,49%,20,90%,48,8,1,1,254,52%,41,41%,2,23,13%,61,6.1,192,26,540,15,80%,47,32%,70,61%,25,188,55%,38,26,46%,26,56,28,2,41%,3%,97,4,7,62%,2,20,143,52%,17,35%,28,14%,11,3.49
Ruan,Portimonense SC,20,2005-05-03,,-,Brazil,-,-,RM,2024/2025,176,29,1960,94,46%,35,54%,45,5,1,-,128,43%,70,43%,1,5,20%,17,0.86,108,22,472,6,83%,20,65%,36,64%,19,20,35%,16,30,40%,35,45,10,-,41%,6%,72,2,5,78%,1,6,73,66%,19,42%,18,6%,8,0.92
Prosper Obah,Vizela,21,2003-11-24,,-,Nigeria,-,-,RAM,2024/2025,178,30,1930,48,35%,15,47%,33,11,-,-,186,38%,82,51%,5,23,26%,43,4.22,141,16,367,14,100%,21,48%,10,70%,21,28,21%,34,51,55%,30,44,24,1,28%,12%,107,6,16,78%,3,20,33,64%,8,38%,40,10%,4,3.51
Tiago Veiga,FK Krumovgrad,24,2000-08-13,175,Canhoto,Portugal,-,2022-06-30,RAM,2024/2025,161,31,1912,139,42%,81,44%,45,79,2,-,218,36%,95,45%,1,9,11%,32,2.28,134,27,439,7,57%,32,50%,40,68%,18,49,22%,18,36,31%,51,41,16,-,38%,3%,90,21,6,77%,-,9,72,65%,9,67%,17,35%,6,3.13
Tiago Freitas,Benfica U23,18,2006-08-17,186,-,Portugal,-,-,RAM,2024/2025,173,25,1746,160,33%,97,35%,70,79,3,2,244,47%,87,59%,3,13,23%,33,3.21,167,27,652,13,77%,56,25%,80,73%,18,57,42%,56,36,44%,28,50,27,1,42%,9%,95,19,11,76%,3,14,121,63%,27,63%,32,19%,11,4.94
Rui Gomes,Chaves,27,1997-09-04,175,Canhoto,Portugal,€450K,2025-06-30,RAM,2024/2025,173,29,1629,63,21%,15,27%,31,14,-,-,162,32%,74,28%,2,12,17%,42,3.19,140,36,481,4,100%,51,41%,46,46%,15,28,36%,22,33,15%,20,33,17,-,31%,5%,87,5,5,72%,2,6,96,54%,27,52%,33,6%,13,1.46
Zé Leite,Penafiel,25,1999-09-01,173,Direita,Portugal,€300K,2023-06-30,RAM,2024/2025,186,21,1580,80,43%,23,39%,17,8,2,-,135,44%,60,55%,8,14,57%,31,4.65,110,14,235,6,67%,16,69%,22,41%,17,62,31%,33,36,58%,30,23,12,1,65%,26%,65,5,6,57%,4,11,42,52%,4,0%,14,0%,5,2.01
Miguel Falé,Mafra,21,2004-01-28,178,Direita,Portugal,€400K,2027-06-30,RAM,2024/2025,169,27,1575,63,41%,24,58%,23,23,1,1,159,42%,88,43%,3,13,23%,30,2.76,124,29,393,7,57%,38,26%,50,62%,17,12,58%,23,41,32%,29,27,11,1,43%,10%,76,10,5,72%,-,7,78,64%,13,38%,28,14%,11,0.97
Jordan van der Gaag,Uniao Desportiva Leiria,26,1999-01-03,177,Canhoto,"Netherlands, Portugal",€250K,2022-06-30,RM,2024/2025,181,25,1514,66,55%,27,67%,24,9,1,-,110,45%,56,48%,-,11,0%,34,3.29,110,18,358,13,85%,68,41%,36,42%,17,30,43%,19,35,49%,31,22,8,-,29%,0%,67,3,4,68%,3,16,74,51%,18,44%,33,24%,4,3.41
