Jogador,Time,Idade,Data de nascimento,Altura,Pé,Nacionalidade,Valor de mercado,Contrato expira em,Posição,Temporada,Index,Partidas jogadas,Minutos jogados,Disputas na defesa,"Disputas defensivas ganhas, %",Desarmes,% de desarmes bem sucedidos,Interceptações,Rebotes,Erros graves,Falhas em gols,Disputas no ataque,"Disputas ofensivas ganhas, %",Dribles,% de dribles com sucesso,Gols,Chances de gol,"Chances c/ sucesso, %",Chutes,Xg,Bolas perdidas,Bolas perdidas / no próprio campo,Passes,Passes chave,"Passes chave precisos,%",Passes dentro da área,"Passes dentro da área / precisos, %",Passa para o terço final,"Passa para frente (ângulo de captura - 120 graus) até o terço final, preciso, %",Escalações no time titular,Disputas aéreas,"Desafios aéreos vencidos, %",Faltas,Dribles no último terço do campo,"Dribles no último terço do campo com sucesso, %",Faltas sofridas,Bolas recuperadas,Bolas recuperadas no campo do adversário,Gols de cabeça,"Chutes no gol, %","Gols marcados do número total de chutes, %",Perdas individuais,Controle de bola ruim,Impedimentos,Passes precisos %,Assistências,Chances criadas,Passes progressivos,"Passes progressivos precisos,%",Passes longos,"Passes longos, precisos, %",Cruzamentos,% de precisão nos cruzamentos,Bolas perdidas após passes no próprio campo,xA
Léo Teixeira,Futebol Clube De Felgueiras,25,1999-07-18,177,Direita,Portugal,-,2022-06-30,LAM,2024/2025,190,31,2628,175,51%,69,55%,52,19,-,-,320,52%,137,49%,5,15,33%,48,4.15,252,27,829,23,78%,144,47%,102,46%,30,103,54%,56,85,49%,68,85,43,1,33%,10%,129,4,9,63%,3,23,222,53%,38,50%,77,17%,10,9.09
Diogo Leitão,CF Os Belenenses,26,1998-10-17,174,Direita,"Portugal, France",-,2025-06-30,LAM,2024/2025,178,33,2139,150,38%,65,45%,73,118,5,-,195,42%,52,58%,4,9,44%,49,3.64,171,31,617,20,25%,66,48%,84,69%,25,61,31%,37,25,52%,52,43,23,-,31%,8%,90,26,1,74%,4,14,148,64%,20,55%,22,23%,17,4.79
Midana Cassamá,Dibba Al Hisn,22,2002-08-18,185,-,"Spain, Guinea-Bissau",-,-,LAM,2024/2025,190,24,2067,79,29%,35,23%,50,42,1,1,329,33%,105,49%,5,26,23%,44,6.01,187,22,289,12,67%,20,35%,22,59%,22,106,27%,50,55,44%,41,37,10,1,39%,11%,155,21,12,78%,4,20,37,65%,8,38%,11,9%,4,3.36
Shyon Omrani,Portimonense U23,21,2003-10-21,177,-,Portugal,-,-,LM,2024/2025,164,25,2028,189,39%,89,44%,76,108,4,3,238,48%,72,54%,6,20,30%,38,6.56,142,23,560,14,50%,35,40%,89,60%,21,64,41%,46,28,39%,44,74,34,1,47%,16%,79,21,4,74%,-,12,137,61%,18,39%,10,0%,7,2.43
João Silva,Uniao Desportiva Oliveirense,25,1999-10-07,,Direita,Portugal,-,2022-06-30,LAM,2024/2025,164,30,1993,135,40%,62,40%,42,7,1,1,132,37%,59,36%,1,8,25%,32,2.41,172,21,543,9,100%,72,32%,54,44%,24,43,40%,57,34,44%,27,44,11,-,31%,3%,96,2,9,68%,3,13,96,52%,43,42%,58,14%,8,3.36
Paulo Vítor,Portimonense SC,25,1999-06-24,170,Direita,Brazil,€400K,2025-06-30,LM,2024/2025,180,24,1960,67,49%,29,69%,33,13,3,1,101,36%,38,45%,8,16,50%,42,4.82,130,18,551,9,89%,74,38%,57,60%,20,30,23%,19,23,52%,37,28,10,1,48%,19%,75,3,3,75%,3,11,92,58%,25,52%,54,24%,7,2.63
Luan,Benfica II,22,2003-01-01,,-,Brazil,-,-,LAM,2024/2025,173,31,1929,67,39%,19,37%,27,7,-,-,124,41%,46,46%,3,10,30%,34,3.73,94,9,415,8,100%,18,72%,29,55%,18,56,38%,12,22,41%,38,34,13,2,21%,9%,64,2,-,77%,1,7,50,62%,4,75%,34,24%,2,2.6
Stanley Iheanacho,Mafra,20,2005-05-18,,-,Portugal,-,-,LAM,2024/2025,165,32,1860,72,35%,26,46%,43,10,-,-,151,48%,44,52%,3,21,14%,41,5.57,128,16,324,3,100%,16,31%,28,32%,19,81,38%,34,16,38%,29,40,22,1,49%,7%,85,3,12,69%,-,6,51,35%,6,33%,10,30%,6,0.63
Rúben Pina,Chaves,25,2000-01-20,184,Direita,Portugal,€125K,2023-06-30,LAM,2024/2025,180,30,1807,64,33%,24,29%,28,5,-,-,114,43%,49,51%,6,17,35%,62,6.97,134,24,716,7,100%,58,36%,75,61%,17,30,40%,14,29,59%,27,40,14,-,34%,10%,59,-,1,79%,3,11,137,61%,60,70%,24,13%,11,3.28
Gautier Ott,Academico Viseu,23,2002-01-07,175,Direita,France,€900K,2026-06-30,LAM,2024/2025,174,23,1796,57,46%,22,45%,31,17,1,-,96,29%,43,33%,1,5,20%,22,0.99,174,30,553,16,81%,91,34%,60,48%,19,27,37%,17,22,32%,14,45,15,-,41%,5%,91,8,3,66%,5,18,107,52%,37,32%,67,15%,14,3.95
Tiago Andrade,Porto II,19,2005-10-21,170,-,Portugal,-,-,LAM,2024/2025,175,32,1738,109,43%,38,50%,60,11,-,-,196,37%,91,42%,1,10,10%,33,2.81,152,28,435,9,100%,61,43%,59,64%,16,39,28%,30,60,38%,56,55,30,1,48%,3%,92,-,2,65%,4,16,102,56%,23,48%,31,10%,11,3.67
João Resende,Uniao Desportiva Leiria,22,2003-03-26,178,Direita,Portugal,€275K,2022-06-30,LAM,2024/2025,168,31,1738,66,44%,27,52%,18,4,-,-,92,43%,30,47%,3,10,30%,21,2.46,121,28,458,10,100%,25,48%,44,61%,18,32,38%,16,16,44%,14,30,10,1,24%,14%,60,2,7,76%,2,10,79,56%,14,50%,12,8%,8,3.31
Gerson Sousa,Benfica II,23,2002-05-10,175,Direita,Portugal,€1.2M,2024-06-30,LAM,2024/2025,187,24,1717,86,45%,38,50%,28,22,1,-,149,46%,46,54%,5,15,33%,28,3.25,121,19,462,12,100%,27,52%,38,58%,19,74,49%,24,25,52%,31,47,16,-,54%,18%,70,7,8,77%,-,19,71,66%,9,33%,20,25%,7,3.11
Angel Alarcon Galiot,Porto II,21,2004-05-15,,-,Spain,-,-,LM,2024/2025,187,19,1629,64,30%,15,53%,18,-,-,-,168,30%,76,30%,7,20,35%,57,5.37,124,22,306,4,100%,20,40%,45,58%,17,54,22%,15,49,29%,14,29,17,1,35%,12%,79,1,3,70%,1,6,79,56%,12,33%,12,33%,7,1.15
Sodiq Olamilekan Fatai,Penafiel,29,1996-06-04,178,Direita,Nigeria,€200K,2022-06-30,LM,2024/2025,169,25,1469,61,59%,18,78%,17,1,-,-,101,46%,44,48%,1,3,33%,15,0.85,91,20,405,5,100%,15,47%,48,63%,12,22,18%,25,20,55%,40,41,18,1,20%,7%,48,-,2,79%,4,9,87,64%,25,60%,21,19%,6,2.65
Simão Silva,Academico Viseu U23,19,2005-07-27,,-,Portugal,-,-,LAM,2024/2025,174,24,1463,84,45%,47,45%,53,42,1,1,185,34%,73,40%,5,20,25%,46,5.43,135,16,409,12,75%,47,36%,46,61%,18,40,23%,26,52,35%,37,31,15,-,39%,11%,83,8,8,72%,1,11,101,62%,30,53%,17,18%,4,3.12
