Jogador,Time,Idade,Data de nascimento,Altura,Pé,Nacionalidade,Valor de mercado,Contrato expira em,Posição,Temporada,Index,Partidas jogadas,Minutos jogados,Disputas na defesa,"Disputas defensivas ganhas, %",Desarmes,% de desarmes bem sucedidos,Interceptações,Rebotes,Erros graves,Falhas em gols,Disputas no ataque,"Disputas ofensivas ganhas, %",Dribles,% de dribles com sucesso,Gols,Chances de gol,"Chances c/ sucesso, %",Chutes,Xg,Bolas perdidas,Bolas perdidas / no próprio campo,Passes,Passes chave,"Passes chave precisos,%",Passes dentro da área,"Passes dentro da área / precisos, %",Passa para o terço final,"Passa para frente (ângulo de captura - 120 graus) até o terço final, preciso, %",Escalações no time titular,Disputas aéreas,"Desafios aéreos vencidos, %",Faltas,Dribles no último terço do campo,"Dribles no último terço do campo com sucesso, %",Faltas sofridas,Bolas recuperadas,Bolas recuperadas no campo do adversário,Gols de cabeça,"Chutes no gol, %","Gols marcados do número total de chutes, %",Perdas individuais,Controle de bola ruim,Impedimentos,Passes precisos %,Assistências,Chances criadas,Passes progressivos,"Passes progressivos precisos,%",Passes longos,"Passes longos, precisos, %",Cruzamentos,% de precisão nos cruzamentos,Bolas perdidas após passes no próprio campo,xA
Javi Vázquez,Sport Clube Uniao Torreense,24,2000-09-24,178,Canhoto,Spain,€200K,2023-06-30,LDM,2024/2025,195,34,3345,115,54%,45,58%,69,12,1,-,116,49%,48,46%,4,10,40%,46,2.19,213,45,1494,34,100%,187,42%,202,54%,34,61,51%,28,25,36%,23,97,37,-,20%,9%,73,2,1,72%,7,43,324,58%,128,46%,118,19%,32,7.45
Lucas Ventura,Hapoel Be'er Sheva,27,1998-05-19,180,Direita,Brazil,€400K,2022-12-31,CDM,2024/2025,212,35,3260,238,65%,119,70%,143,176,10,3,241,68%,105,80%,1,10,20%,42,4.61,100,31,1356,12,42%,28,50%,124,73%,35,55,67%,41,21,62%,80,165,59,-,33%,2%,44,17,-,89%,2,11,238,74%,23,65%,3,0%,15,3.83
Tiago Emanuel Jesus Morgado,CF Os Belenenses,31,1993-07-28,174,Direita,Portugal,-,2022-06-30,RCDM,2024/2025,187,33,3054,304,57%,110,60%,174,221,10,2,146,74%,30,77%,-,5,20%,33,1.26,190,36,1715,18,56%,250,51%,288,65%,31,125,64%,59,8,63%,50,172,74,-,33%,0%,30,11,-,78%,6,29,394,64%,161,58%,33,30%,24,7.8
Diogo Nascimento,Vizela,22,2002-11-02,166,Canhoto,Portugal,€700K,2024-06-30,LCDM,2024/2025,184,32,2903,121,46%,48,58%,56,31,5,1,154,42%,63,44%,1,15,7%,49,3.42,164,42,1754,12,100%,61,67%,196,77%,31,35,34%,48,21,38%,69,114,38,-,33%,2%,75,2,-,90%,-,12,363,77%,49,61%,22,18%,18,4
Domingos Andrade,Porto II,22,2003-05-07,183,Direita,Angola,€200K,2024-06-30,LCDM,2024/2025,186,30,2788,195,57%,60,62%,109,27,-,-,109,62%,30,50%,-,4,0%,24,0.84,120,34,1161,4,100%,19,32%,129,63%,30,114,59%,48,10,40%,91,115,53,-,21%,0%,45,4,-,82%,2,7,233,61%,46,63%,11,18%,14,2.79
Léo Azevedo,Sport Clube Uniao Torreense,21,2004-03-14,,-,Brazil,-,-,RCDM,2024/2025,181,32,2746,255,56%,102,59%,91,41,3,2,170,56%,76,53%,1,11,9%,26,2.98,162,42,1036,5,100%,35,46%,184,57%,28,76,54%,60,26,50%,24,152,72,1,38%,4%,57,5,2,77%,-,6,295,62%,51,41%,10,30%,21,2.3
Juan Balanta,Sport Clube Uniao Torreense,28,1997-03-03,173,Direita,Colombia,€275K,2023-06-30,LCDM,2024/2025,183,32,2740,115,53%,57,49%,59,24,1,-,85,65%,21,67%,3,8,38%,21,2.41,113,28,1031,14,79%,68,35%,151,59%,25,35,63%,51,3,100%,73,102,40,-,29%,14%,39,2,-,82%,2,11,245,62%,77,49%,5,60%,15,3.47
Diogo Filipe Eusebio Paulo,CF Os Belenenses,23,2001-07-06,177,Canhoto,Portugal,€100K,2022-06-30,LCDM,2024/2025,189,32,2691,317,57%,123,63%,171,206,7,2,166,66%,76,74%,1,2,50%,13,0.48,149,27,1584,16,44%,131,45%,229,66%,31,87,59%,58,19,68%,62,180,50,-,15%,8%,32,10,1,84%,1,11,373,71%,110,61%,31,13%,14,6.28
Yannick Semedo,Vizela,29,1995-12-29,171,Direita,Cape Verde,€275K,2021-06-30,RCDM,2024/2025,190,30,2675,90,47%,34,56%,68,19,-,-,73,59%,29,62%,2,4,50%,38,1.02,201,28,1958,40,100%,204,38%,324,67%,29,41,44%,15,8,63%,36,129,52,-,24%,5%,35,3,-,80%,2,40,557,71%,138,59%,46,17%,18,12.77
Tiago Rodrigues,Penafiel,33,1992-01-29,177,Direita,Portugal,€100K,2022-06-30,RCDM,2024/2025,175,30,2602,106,42%,57,32%,56,29,3,2,66,55%,23,52%,1,3,33%,37,1.45,132,28,876,17,94%,122,38%,164,52%,28,25,32%,33,9,44%,12,87,38,-,19%,3%,38,2,2,74%,2,19,249,60%,85,48%,29,14%,14,3.55
