Jogador,Time,Idade,Data de nascimento,Altura,Pé,Nacionalidade,Valor de mercado,Contrato expira em,Posição,Temporada,Index,Partidas jogadas,Escalações no time titular,Minutos jogados,Disputas aéreas,"Desafios aéreos vencidos, %",Disputas na defesa,"Disputas defensivas ganhas, %",Desarmes,% de desarmes bem sucedidos,Interceptações,Faltas,Disputas no ataque,"Disputas ofensivas ganhas, %",Dribles no último terço do campo,"Dribles no último terço do campo com sucesso, %",Faltas sofridas,Bolas recuperadas no campo do adversário,Gols,Gols de cabeça,Chances de gol,"Chances c/ sucesso, %",Chutes,"Chutes no gol, %","Gols marcados do número total de chutes, %",Xg,Bolas perdidas,Perdas individuais,Controle de bola ruim,Impedimentos,Assistências,Chances criadas,Passes chave,"Passes chave precisos,%",Passes dentro da área,"Passes dentro da área / precisos, %",xA
Etim,Mafra,23,2002-05-21,186,Direita,Nigeria,€200K,2025-06-30,CF,2024/2025,172,30,30,2899,283,46%,91,29%,14,36%,37,54,435,48%,58,48%,51,16,7,2,30,23%,64,42%,11%,10.86,282,183,6,18,5,23,18,100%,46,54%,6.82
Rui Pedro da Rocha Fonte,Pacos Ferreira,35,1990-04-23,,-,Portugal,-,-,CF,2024/2025,164,33,31,2881,236,47%,101,40%,33,48%,46,50,270,48%,4,75%,33,22,6,1,23,26%,50,42%,12%,8.34,183,90,4,8,4,13,10,60%,22,41%,2.71
Rodrigo Vale Pereira,CF Os Belenenses,22,2003-03-07,188,Direita,Portugal,€175K,-,CF,2024/2025,167,34,27,2620,226,33%,105,23%,30,23%,47,41,405,38%,16,25%,44,8,11,3,36,31%,43,49%,26%,9.62,224,169,24,18,-,13,9,44%,14,43%,2.77
Leandro Antunes,Feirense,27,1997-07-28,183,Direita,Portugal,€350K,2022-06-30,CF,2024/2025,173,34,28,2599,136,42%,73,38%,24,38%,38,20,189,43%,22,32%,36,19,8,1,32,28%,69,33%,12%,6.52,155,80,-,6,7,21,14,79%,42,52%,4.1
Costinha,Pacos Ferreira,24,2001-04-05,,-,Portugal,-,-,LCF,2024/2025,182,32,28,2557,43,14%,135,44%,58,52%,55,37,165,50%,40,53%,62,26,5,1,12,42%,66,33%,8%,5.09,158,89,5,10,4,17,15,93%,75,49%,3.22
Anthony Carter,Futebol Clube De Alverca,30,1994-08-31,192,Direita,"Australia, Italy",€150K,2023-06-30,CF,2024/2025,181,32,29,2553,151,46%,62,32%,20,10%,14,36,202,43%,13,46%,36,10,15,4,38,42%,63,57%,24%,11.24,184,110,4,25,5,17,8,100%,21,43%,3.53
Alexandre Guedes,Maritimo,31,1994-02-11,185,Direita,Portugal,€300K,2024-06-30,CF,2024/2025,160,31,27,2490,162,36%,56,32%,15,47%,34,22,244,36%,15,27%,29,14,6,1,27,22%,42,45%,14%,7.78,196,130,15,22,1,12,9,67%,16,25%,2.96
Gustavo Varela,Benfica II,20,2005-01-30,182,Direita,Portugal,-,-,CF,2024/2025,166,34,25,2395,83,46%,37,27%,9,44%,16,29,175,37%,28,36%,37,17,11,1,45,27%,75,36%,15%,10.71,158,111,2,11,2,16,7,71%,14,36%,1.87
Werton,Leixoes,21,2003-09-16,170,-,Brazil,-,-,LCF,2024/2025,180,31,27,2312,43,33%,99,35%,35,29%,63,20,248,46%,69,48%,59,26,8,-,17,53%,55,29%,15%,5.35,185,126,5,4,3,14,9,67%,33,52%,2.7
Gustavo Goncalves Lobo,Leixoes SC U23,21,2004-01-22,,-,Brazil,-,-,CF,2024/2025,160,31,25,2303,264,41%,119,28%,52,17%,60,55,607,42%,44,41%,19,18,6,2,28,21%,53,57%,11%,6.75,339,240,27,21,2,18,17,53%,41,49%,3.16
João Santos,Futebol Clube De Felgueiras,26,1999-03-15,180,Direita,Portugal,-,2021-06-30,RCF,2024/2025,175,32,26,2265,93,38%,92,37%,27,37%,34,43,196,39%,22,27%,62,23,1,1,35,3%,64,36%,2%,8.96,150,93,8,3,2,29,21,100%,26,62%,4.66
Pedro Ramos,FC Vizela U23,20,2005-03-05,,-,Portugal,-,-,CF,2024/2025,181,28,25,2205,29,17%,93,32%,52,38%,48,17,221,43%,47,55%,24,16,9,-,27,33%,60,55%,15%,7.25,202,89,35,-,6,31,47,49%,180,42%,9.81
André Clóvis,Academico Viseu,27,1997-11-21,186,Direita,Brazil,€1.5M,2023-06-30,CF,2024/2025,164,32,26,2169,138,29%,65,25%,18,39%,20,44,192,32%,16,44%,34,13,7,1,41,22%,71,34%,10%,10.61,184,127,2,21,1,10,5,80%,14,29%,3.07
André Silva,Penafiel,25,2000-04-28,,Ambos,Portugal,-,-,LCF,2024/2025,164,32,21,2159,57,16%,84,23%,32,16%,27,55,149,26%,25,16%,70,14,2,-,15,20%,35,46%,6%,3.84,124,82,2,10,2,12,4,100%,19,32%,2.86
Ronaldo Lumungo,Pacos Ferreira,23,2001-07-11,,-,Sao Tome and Principe,-,-,RCF,2024/2025,162,35,20,2123,70,24%,97,36%,37,46%,37,40,200,36%,32,38%,35,19,3,-,14,21%,43,37%,7%,4.11,162,109,7,14,2,11,9,78%,23,43%,3.02
Tamble,Portimonense SC,24,2000-11-15,,-,Portugal,€200K,2022-06-30,CF,2024/2025,170,25,23,2078,165,51%,55,31%,10,50%,20,33,210,50%,14,36%,47,18,6,3,24,25%,47,40%,13%,8.99,182,109,-,12,3,18,13,100%,19,42%,3.07
Zidane Banjaqui,Feirense,26,1998-12-15,175,Ambos,"Portugal, Guinea-Bissau",€225K,2023-06-30,LCF,2024/2025,191,24,23,2058,69,25%,106,39%,37,54%,35,34,204,44%,31,68%,38,27,6,-,24,25%,53,40%,11%,5.22,145,94,5,5,4,28,16,94%,22,45%,3.06
Dany Jean,Rodez,22,2002-11-28,170,-,Haiti,-,-,LCF,2024/2025,176,30,20,1990,62,23%,50,24%,13,31%,21,24,172,37%,37,54%,35,9,3,-,13,23%,37,41%,8%,4.44,145,90,10,14,2,15,12,100%,42,48%,2.82
Juan Muñoz,Uniao Desportiva Leiria,29,1995-11-12,180,Direita,Spain,€350K,2023-06-30,CF,2024/2025,184,30,23,1981,40,45%,37,38%,7,29%,17,11,109,39%,12,42%,29,13,15,2,35,46%,62,53%,24%,10.14,123,65,4,14,2,21,17,76%,53,43%,2.31
Roberto,Tondela,36,1988-11-28,180,Direita,Portugal,€75K,2023-06-30,CF,2024/2025,174,31,19,1976,134,44%,69,39%,22,45%,25,38,159,43%,7,43%,31,12,10,2,31,32%,54,43%,19%,10.76,154,90,3,19,1,14,11,91%,27,44%,2.46
Zé Manuel,Uniao Desportiva Oliveirense,34,1990-10-23,181,Direita,Portugal,€100K,2023-06-30,CF,2024/2025,156,31,19,1945,95,28%,50,26%,13,15%,21,19,119,31%,9,22%,33,16,3,-,19,16%,43,42%,7%,7.63,122,78,5,6,1,9,6,100%,20,50%,2.02
Morufdeen Moshood,Varzim,21,2004-01-07,,-,Nigeria,-,-,LCF,2024/2025,182,29,23,1935,144,34%,117,38%,45,49%,46,37,365,34%,27,44%,26,15,12,4,35,34%,62,47%,19%,9.52,194,146,21,6,1,14,11,36%,25,32%,2.75
Damien Loppy,Vizela,27,1997-09-18,191,-,"France, Senegal",€200K,2020-06-30,RCF,2024/2025,164,29,22,1926,54,39%,65,54%,27,59%,26,10,124,41%,35,57%,11,25,1,-,9,33%,12,33%,8%,3.06,104,63,1,4,3,15,10,100%,28,54%,3.41
Chico Banza,Portimonense SC,26,1998-12-17,182,Direita,Angola,€450K,2021-05-31,CF,2024/2025,185,24,22,1913,88,40%,102,48%,30,67%,34,84,250,40%,58,33%,39,19,7,1,17,41%,37,46%,19%,4.12,228,168,4,28,1,7,6,100%,19,63%,1.3
Gabriel Barbosa,Penafiel,26,1999-03-17,195,Direita,Brazil,€150K,2024-06-30,CF,2024/2025,182,22,22,1809,191,55%,49,27%,8,25%,26,40,228,57%,8,75%,37,4,10,-,17,65%,41,44%,24%,9.82,150,72,4,4,-,9,6,83%,16,31%,1.25
Daniel Da Silva Dos Anjos,Uniao Desportiva Leiria,29,1996-01-21,183,Direita,Brazil,€400K,2024-06-30,CF,2024/2025,164,30,17,1763,98,49%,39,36%,7,57%,13,42,129,43%,16,50%,35,14,7,1,15,47%,39,33%,18%,6.52,125,77,-,13,1,13,9,100%,14,64%,2.07
Miro,Tondela,22,2003-04-22,,-,Angola,-,-,CF,2024/2025,174,31,16,1745,133,47%,61,26%,14,36%,13,29,175,46%,14,29%,35,9,10,2,21,48%,56,39%,18%,9.33,119,72,1,12,1,11,6,100%,22,23%,1.4
Steven Petkov,Feirense,30,1995-05-07,185,Direita,Bulgaria,€150K,2022-06-30,CF,2024/2025,157,33,17,1664,155,38%,50,34%,6,50%,17,33,171,42%,2,100%,38,7,6,2,17,35%,36,36%,17%,5.1,142,92,6,12,-,5,3,100%,7,43%,0.52
Orphé Mbina,NK Maribor,24,2000-11-02,178,Direita,"France, Gabon",€300K,-,CF,2024/2025,171,29,18,1583,93,37%,53,26%,9,44%,24,28,227,37%,33,39%,25,5,6,2,27,22%,38,55%,16%,5.47,139,96,7,8,3,13,13,54%,22,55%,3.9
Uros Milovanovic,Vizela,24,2000-10-18,190,Ambos,Serbia,€600K,2024-06-30,CF,2024/2025,163,26,14,1515,63,46%,38,21%,11,36%,22,29,122,38%,18,17%,17,10,4,-,22,18%,42,40%,10%,8.1,89,65,3,11,1,12,8,100%,10,70%,1.59
Rafael Martins,CD Santa Clara,36,1989-03-17,177,Direita,Brazil,€100K,2024-06-30,CF,2024/2025,160,27,13,1481,93,42%,38,26%,9,0%,4,18,107,44%,6,33%,10,9,6,2,21,29%,31,52%,19%,4.56,103,46,1,8,1,3,2,100%,18,22%,0.76
Natana?l Ntolla Thio,Vizela,25,1999-07-01,185,Canhoto,France,€400K,2023-06-30,LCF,2024/2025,167,24,13,1466,18,56%,33,36%,9,67%,16,13,90,42%,35,20%,7,11,1,-,9,11%,28,29%,4%,2.42,98,57,-,4,5,15,9,100%,24,54%,4.48
Anha Cande,Porto II,17,2007-08-13,,-,Portugal,-,-,CF,2024/2025,161,24,14,1445,51,31%,38,45%,7,57%,12,27,95,39%,14,50%,41,4,4,1,20,20%,40,33%,10%,5.76,95,69,1,5,1,8,3,67%,9,56%,1.89
Ricardo Valente,Leixoes,34,1991-04-03,,-,Portugal,-,-,CF,2024/2025,165,20,15,1406,60,38%,51,18%,22,14%,10,21,106,42%,11,27%,20,14,3,1,13,23%,31,32%,10%,4.37,109,73,-,16,1,4,3,100%,11,55%,0.96
Carlos Eduardo,Futebol Clube De Felgueiras,22,2002-08-10,,-,Brazil,-,-,CF,2024/2025,182,20,14,1338,91,36%,27,15%,3,67%,7,28,104,43%,8,38%,22,11,10,2,22,45%,40,53%,25%,7.23,92,63,-,12,1,12,9,100%,5,20%,1.19
